"iter","objective","rel_objective_change","step_frob","rel_step_frob","truth_frob","rel_truth_frob","truth_matrix_mse","eta_step","backtrack_count","backtrack_total","accepted_no_move","stop_condition","stop_streak","window_rel_objective","window_rel_frob","rank_1e8","rank_1e4","converged"
20,0.622086613723295,0.00260571099755005,0.0942452825288897,0.00459008491008418,19.3606113681279,2.60208228834652,0.499777696730244,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
21,0.617970299500117,0.00253766610756349,0.0931786613763415,0.0045536913914702,19.2909786677667,2.59272359543882,0.496189143946974,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
22,0.61396061353693,0.00247821975744913,0.0922053928978465,0.00452158534644316,19.2215971955377,2.58339866780127,0.492626398330005,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
23,0.610045818001853,0.00242558306704765,0.0913052716857853,0.00449280505458544,19.1525048804911,2.5741126031298,0.489091257596313,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
24,0.606216520281497,0.00237837810423862,0.0904631638717451,0.00446662802331704,19.083732563702,2.56486954649058,0.485585131417199,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
25,0.602465116572901,0.00233555293525298,0.0896679268315254,0.00444252146305101,19.0153046605978,2.55567277933739,0.482109081780468,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
26,0.598785364399288,0.00229630719293482,0.0889114357634095,0.00442009698677372,18.9472399343581,2.54652482345718,0.478663868173513,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
27,0.595172059990791,0.00226003095159334,0.0881877785682859,0.00439907273034042,18.8795522956406,2.53742754845394,0.475249993178438,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
28,0.591620797532417,0.0022262566825514,0.0874926275892766,0.00437924352619109,18.812251573163,2.5283822753155,0.471867745669298,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
29,0.588127790516677,0.00219462262691956,0.0868227697967324,0.00436045841918351,18.7453442222174,2.5193898716385,0.468517240012558,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
30,0.584689739284945,0.00216484545655684,0.0861757667439635,0.00434260426977777,18.6788339545225,2.51045083628102,0.465198450534163,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
31,0.581303732479818,0.00213670015094275,0.0855497147276624,0.00432559410432258,18.6127222839781,2.50156537271246,0.461911241093995,1.5,0,0,FALSE,FALSE,0,NA,NA,2,2,FALSE
